data;

set M := Opole  Brzeg  Nysa  Prudnik  StrzelceOpl  Kozle  Raciborz;

param: surpI  surpII  shortI  shortII :=
  Opole        0      2       0       2
  Brzeg        0      0       0       2
  Nysa         0      0       3       0
  Prudnik      1      0       0       2
  StrzelceOpl  8      4       0       0
  Kozle        2      5       4       0
  Raciborz     7      2       0       3
;

# Tu lub w osobnym bloku można podać param dist[m1,m2].
# W razie potrzeby ładujemy je z tablicy NxN lub obliczamy inaczej.

end;
