subfolder,filename,n,m,T_star,Cmax,ratio,time_total,int_in_lp
instancias100a200,1011.txt,1000,10,10878,10991.0,1.010388,2.91,987
instancias100a200,1012.txt,1000,10,10802,10856.0,1.004999,2.688,990
instancias100a200,1013.txt,1000,10,10877,10974.0,1.008918,2.875,988
instancias100a200,1014.txt,1000,10,10859,10952.0,1.008564,2.835,984
instancias100a200,1015.txt,1000,10,10864,11032.0,1.015464,2.482,976
instancias100a200,1016.txt,1000,10,10871,10959.0,1.008095,2.696,990
instancias100a200,1017.txt,1000,10,10843,10941.0,1.009038,2.588,984
instancias100a200,1018.txt,1000,10,10890,11099.0,1.019192,2.638,983
instancias100a200,1019.txt,1000,10,10837,10923.0,1.007936,2.668,988
instancias100a200,1020.txt,1000,10,10885,10984.0,1.009095,2.716,986
instancias100a200,1021.txt,1000,20,5207,5315.0,1.020741,6.303,978
instancias100a200,1022.txt,1000,20,5217,5305.0,1.016868,6.551,982
instancias100a200,1023.txt,1000,20,5201,5292.0,1.017497,6.9,975
instancias100a200,1024.txt,1000,20,5215,5319.0,1.019942,6.299,978
instancias100a200,1025.txt,1000,20,5225,5341.0,1.022201,7.151,972
instancias100a200,1026.txt,1000,20,5217,5325.0,1.020702,7.128,980
instancias100a200,1027.txt,1000,20,5229,5316.0,1.016638,6.31,980
instancias100a200,1028.txt,1000,20,5223,5327.0,1.019912,6.448,979
instancias100a200,1029.txt,1000,20,5216,5400.0,1.035276,6.386,974
instancias100a200,1030.txt,1000,20,5211,5321.0,1.021109,6.973,981
instancias100a200,1031.txt,1000,30,3429,3591.0,1.047244,9.02,967
instancias100a200,1032.txt,1000,30,3436,3633.0,1.057334,9.078,960
instancias100a200,1033.txt,1000,30,3423,3590.0,1.048788,10.378,962
instancias100a200,1034.txt,1000,30,3427,3514.0,1.025387,9.606,969
instancias100a200,1035.txt,1000,30,3427,3507.0,1.023344,10.8,969
instancias100a200,1036.txt,1000,30,3426,3592.0,1.048453,11.148,960
instancias100a200,1037.txt,1000,30,3428,3529.0,1.029463,11.067,971
instancias100a200,1038.txt,1000,30,3427,3596.0,1.049314,10.377,964
instancias100a200,1039.txt,1000,30,3428,3713.0,1.083139,8.844,955
instancias100a200,1040.txt,1000,30,3427,3578.0,1.044062,10.553,961
instancias100a200,1041.txt,1000,40,2549,2658.0,1.042762,15.675,960
instancias100a200,1042.txt,1000,40,2547,2649.0,1.040047,17.542,960
instancias100a200,1043.txt,1000,40,2552,2651.0,1.038793,16.987,960
instancias100a200,1044.txt,1000,40,2550,2653.0,1.040392,16.575,960
instancias100a200,1045.txt,1000,40,2552,2660.0,1.04232,14.945,952
instancias100a200,1046.txt,1000,40,2550,2656.0,1.041569,15.415,959
instancias100a200,1047.txt,1000,40,2551,2651.0,1.0392,14.505,959
instancias100a200,1048.txt,1000,40,2550,2754.0,1.08,13.497,956
instancias100a200,1049.txt,1000,40,2550,2752.0,1.079216,15.802,959
instancias100a200,1050.txt,1000,40,2549,2649.0,1.039231,15.179,958
instancias100a200,1051.txt,1000,50,2032,2218.0,1.091535,21.048,945
instancias100a200,1052.txt,1000,50,2029,2136.0,1.052735,17.297,945
instancias100a200,1053.txt,1000,50,2030,2134.0,1.051232,18.14,953
instancias100a200,1054.txt,1000,50,2031,2133.0,1.050222,18.166,951
instancias100a200,1055.txt,1000,50,2030,2130.0,1.049261,21.903,951
instancias100a200,1056.txt,1000,50,2030,2133.0,1.050739,22.128,954
instancias100a200,1057.txt,1000,50,2030,2131.0,1.049754,21.187,953
instancias100a200,1058.txt,1000,50,2032,2139.0,1.052657,23.408,945
instancias100a200,1059.txt,1000,50,2034,2135.0,1.049656,22.858,952
instancias100a200,1060.txt,1000,50,2031,2145.0,1.05613,19.43,941
instancias100a200,111.txt,100,10,1104,1206.0,1.092391,0.117,90
instancias100a200,112.txt,100,10,1076,1174.0,1.091078,0.107,90
instancias100a200,113.txt,100,10,1086,1179.0,1.085635,0.097,90
instancias100a200,114.txt,100,10,1102,1184.0,1.07441,0.084,89
instancias100a200,115.txt,100,10,1092,1192.0,1.091575,0.092,90
