subfolder,filename,n,m,T_star,Cmax,ratio,time_total,best_objective,best_type,best_gap,best_time
instancias100a200,1011.txt,1000,10,10878,10991.0,1.010388,2.611,10880.0,1.0,2.0,300.0
instancias100a200,1012.txt,1000,10,10802,10856.0,1.004999,2.201,10805.0,1.0,2.0,300.0
instancias100a200,1013.txt,1000,10,10877,10974.0,1.008918,2.53,10880.0,1.0,3.0,300.0
instancias100a200,1014.txt,1000,10,10859,10952.0,1.008564,2.547,10861.0,1.0,1.0,300.0
instancias100a200,1015.txt,1000,10,10864,11032.0,1.015464,2.664,10867.0,1.0,2.0,300.0
instancias100a200,1016.txt,1000,10,10871,10959.0,1.008095,2.412,10873.0,1.0,1.0,300.0
instancias100a200,1017.txt,1000,10,10843,10941.0,1.009038,2.278,10845.0,1.0,2.0,300.0
instancias100a200,1018.txt,1000,10,10890,11099.0,1.019192,2.215,10894.0,1.0,3.0,300.0
instancias100a200,1019.txt,1000,10,10837,10923.0,1.007936,2.346,10841.0,1.0,3.0,300.0
instancias100a200,1020.txt,1000,10,10885,10984.0,1.009095,2.211,10888.0,1.0,2.0,300.0
instancias100a200,1021.txt,1000,20,5207,5315.0,1.020741,5.271,5215.0,1.0,7.0,300.0
instancias100a200,1022.txt,1000,20,5217,5305.0,1.016868,5.547,5222.0,1.0,5.0,300.0
instancias100a200,1023.txt,1000,20,5201,5292.0,1.017497,5.879,5210.0,1.0,8.0,300.0
instancias100a200,1024.txt,1000,20,5215,5319.0,1.019942,5.499,5221.0,1.0,5.0,300.0
instancias100a200,1025.txt,1000,20,5225,5341.0,1.022201,4.973,5229.0,1.0,3.0,300.0
instancias100a200,1026.txt,1000,20,5217,5325.0,1.020702,6.281,5222.0,1.0,5.0,300.0
instancias100a200,1027.txt,1000,20,5229,5316.0,1.016638,5.099,5236.0,1.0,6.0,300.0
instancias100a200,1028.txt,1000,20,5223,5327.0,1.019912,5.745,5229.0,1.0,5.0,300.0
instancias100a200,1029.txt,1000,20,5216,5400.0,1.035276,4.914,5223.0,1.0,7.0,300.0
instancias100a200,1030.txt,1000,20,5211,5321.0,1.021109,5.417,5214.0,1.0,2.0,300.0
instancias100a200,1031.txt,1000,30,3429,3591.0,1.047244,8.078,3460.0,1.0,29.0,300.0
instancias100a200,1032.txt,1000,30,3436,3633.0,1.057334,9.05,3467.0,1.0,29.0,300.0
instancias100a200,1033.txt,1000,30,3423,3590.0,1.048788,9.815,3462.0,1.0,37.0,300.0
instancias100a200,1034.txt,1000,30,3427,3514.0,1.025387,9.253,3457.0,1.0,29.0,300.0
instancias100a200,1035.txt,1000,30,3427,3507.0,1.023344,10.125,3462.0,1.0,33.0,300.0
instancias100a200,1036.txt,1000,30,3426,3592.0,1.048453,10.111,3462.0,1.0,35.0,300.0
